Carvalho,20,AttackingMidfield,PortugalU21,LiverpoolFC,20
deGea,32,Goalkeeper,Spain,ManchesterUnited,15
Butland,30,Goalkeeper,England,ManchesterUnited,1.5
Heaton,36,Goalkeeper,England,ManchesterUnited,0.6
Martínez,25,Centre-Back,Argentina,ManchesterUnited,50
Varane,29,Centre-Back,France,ManchesterUnited,40
Maguire,30,Centre-Back,England,ManchesterUnited,25
Lindelöf,28,Centre-Back,Sweden,ManchesterUnited,15
Jones,31,Centre-Back,England,ManchesterUnited,2
Mengi,20,Centre-Back,EnglandU20,ManchesterUnited,2
Shaw,27,Left-Back,England,ManchesterUnited,35
Malacia,23,Left-Back,Netherlands,ManchesterUnited,22
Williams,22,Left-Back,EnglandU21,ManchesterUnited,10
Dalot,24,Right-Back,Portugal,ManchesterUnited,35
Wan-Bissaka,25,Right-Back,EnglandU21,ManchesterUnited,22
Casemiro,31,DefensiveMidfield,Brazil,ManchesterUnited,50
McTominay,26,DefensiveMidfield,Scotland,ManchesterUnited,25
Eriksen,31,CentralMidfield,Denmark,ManchesterUnited,25
Sabitzer,29,CentralMidfield,Austria,ManchesterUnited,20
Fred,30,CentralMidfield,Brazil,ManchesterUnited,20
vandeBeek,25,CentralMidfield,Netherlands,ManchesterUnited,17
Iqbal,19,CentralMidfield,Iraq,ManchesterUnited,0.8
Mainoo,17,CentralMidfield,EnglandU19,ManchesterUnited,0.8
Fernandes,28,AttackingMidfield,Portugal,ManchesterUnited,75
Rashford,25,LeftWinger,England,ManchesterUnited,80
Lloris,36,Goalkeeper,France,TottenhamHotspur,4
Forster,35,Goalkeeper,England,TottenhamHotspur,1.5
Whiteman,24,Goalkeeper,EnglandU19,TottenhamHotspur,0.5
Austin,24,Goalkeeper,England,TottenhamHotspur,0.3
Romero,24,Centre-Back,Argentina,TottenhamHotspur,60
Dier,29,Centre-Back,England,TottenhamHotspur,25
Sánchez,26,Centre-Back,Colombia,TottenhamHotspur,20
Lenglet,27,Centre-Back,France,TottenhamHotspur,12
Tanganga,23,Centre-Back,England,TottenhamHotspur,9
Davies,29,Left-Back,Wales,TottenhamHotspur,20
Porro,23,Right-Back,Spain,TottenhamHotspur,35
EmersonRoyal,24,Right-Back,Brazil,TottenhamHotspur,25
Skipp,22,DefensiveMidfield,EnglandU21,TottenhamHotspur,15
Höjbjerg,27,CentralMidfield,Denmark,TottenhamHotspur,45
Bentancur,25,CentralMidfield,Uruguay,TottenhamHotspur,40
Bissouma,26,CentralMidfield,Mali,TottenhamHotspur,25
Sarr,20,CentralMidfield,Senegal,TottenhamHotspur,15
Sessegnon,22,LeftMidfield,EnglandU21,TottenhamHotspur,22
Perisic,34,LeftMidfield,Croatia,TottenhamHotspur,10
Son,30,LeftWinger,SouthKorea,TottenhamHotspur,60
Danjuma,26,LeftWinger,Netherlands,TottenhamHotspur,27
Kulusevski,22,RightWinger,Sweden,TottenhamHotspur,55
LucasMoura,30,RightWinger,Brazil,TottenhamHotspur,9
Kane,29,Centre-Forward,England,TottenhamHotspur,90
Pope,30,Goalkeeper,England,NewcastleUnited,18
Dúbravka,34,Goalkeeper,Slovakia,NewcastleUnited,2.5
Karius,29,Goalkeeper,Germany,NewcastleUnited,1.5
Gillespie,30,Goalkeeper,England,NewcastleUnited,0.3
Botman,23,Centre-Back,Netherlands,NewcastleUnited,45
Burn,30,Centre-Back,England,NewcastleUnited,12
Schär,31,Centre-Back,Switzerland,NewcastleUnited,10
Lascelles,29,Centre-Back,England,NewcastleUnited,7
Targett,27,Left-Back,England,NewcastleUnited,15
Lewis,25,Left-Back,NorthernIreland,NewcastleUnited,8
Dummett,31,Left-Back,Wales,NewcastleUnited,1.2
Trippier,32,Right-Back,England,NewcastleUnited,13
Areola,30,Goalkeeper,France,WestHamUnited,8
Fabianski,37,Goalkeeper,Poland,WestHamUnited,1
Aguerd,26,Centre-Back,Morocco,WestHamUnited,32
Zouma,28,Centre-Back,France,WestHamUnited,28
Kehrer,26,Centre-Back,Germany,WestHamUnited,18
Ogbonna,34,Centre-Back,Italy,WestHamUnited,1
Emerson,28,Left-Back,Italy,WestHamUnited,12
Cresswell,33,Left-Back,England,WestHamUnited,2.5
Johnson,23,Right-Back,England,WestHamUnited,12
Coufal,30,Right-Back,CzechRepublic,WestHamUnited,9
Rice,24,DefensiveMidfield,England,WestHamUnited,80
Soucek,28,DefensiveMidfield,CzechRepublic,WestHamUnited,35
Downes,24,CentralMidfield,England,WestHamUnited,8
LucasPaquetá,25,AttackingMidfield,Brazil,WestHamUnited,45
Fornals,27,AttackingMidfield,Spain,WestHamUnited,25
Lanzini,30,AttackingMidfield,Argentina,WestHamUnited,8
Benrahma,27,LeftWinger,Algeria,WestHamUnited,22
Cornet,26,LeftWinger,IvoryCoast,WestHamUnited,15
Bowen,26,RightWinger,England,WestHamUnited,38
Scamacca,24,Centre-Forward,Italy,WestHamUnited,27
Ings,30,Centre-Forward,England,WestHamUnited,16
Antonio,32,Centre-Forward,Jamaica,WestHamUnited,9
Ward,29,Goalkeeper,Wales,LeicesterCity,8
Iversen,25,Goalkeeper,Denmark,LeicesterCity,2
Smithies,33,Goalkeeper,England,LeicesterCity,0.6
Faes,24,Centre-Back,Belgium,LeicesterCity,20
Söyüncü,26,Centre-Back,Turkey,LeicesterCity,15
Souttar,24,Centre-Back,Australia,LeicesterCity,15
Amartey,28,Centre-Back,Ghana,LeicesterCity,15
Vestergaard,30,Centre-Back,Denmark,LeicesterCity,5
Evans,35,Centre-Back,N.Ireland,LeicesterCity,3
Kristiansen,20,Left-Back,DenmarkU21,LeicesterCity,12
Thomas,21,Left-Back,EnglandU21,LeicesterCity,10
Bertrand,33,Left-Back,England,LeicesterCity,1
Castagne,27,Right-Back,Belgium,LeicesterCity,28
Justin,25,Right-Back,England,LeicesterCity,25
Pereira,29,Right-Back,Portugal,LeicesterCity,12
Ndidi,26,DefensiveMidfield,Nigeria,LeicesterCity,32
Soumaré,24,DefensiveMidfield,France,LeicesterCity,20
Mendy,30,DefensiveMidfield,Senegal,LeicesterCity,3.5
Tielemans,25,CentralMidfield,Belgium,LeicesterCity,30
Dewsbury-Hall,24,CentralMidfield,England,LeicesterCity,25
Praet,28,CentralMidfield,Belgium,LeicesterCity,8
Maddison,26,AttackingMidfield,England,LeicesterCity,55
Barnes,25,LeftWinger,England,LeicesterCity,32
Tetê,23,RightWinger,BrazilU23,LeicesterCity,25
Martínez,30,Goalkeeper,Argentina,AstonVilla,28
Olsen,33,Goalkeeper,Sweden,AstonVilla,2
Steer,30,Goalkeeper,England,AstonVilla,0.6
Sinisalo,21,Goalkeeper,Finland,AstonVilla,0.4
DiegoCarlos,30,Centre-Back,Brazil,AstonVilla,30
Mings,30,Centre-Back,England,AstonVilla,25
Konsa,25,Centre-Back,England,AstonVilla,22
Chambers,28,Centre-Back,England,AstonVilla,8
Moreno,29,Left-Back,Spain,AstonVilla,20
Digne,29,Left-Back,France,AstonVilla,17
Cash,25,Right-Back,Poland,AstonVilla,22
Young,37,Right-Back,England,AstonVilla,1
Kamara,23,DefensiveMidfield,France,AstonVilla,25
Dendoncker,27,DefensiveMidfield,Belgium,AstonVilla,17
DouglasLuiz,24,CentralMidfield,Brazil,AstonVilla,35
Ramsey,21,CentralMidfield,EnglandU21,AstonVilla,32
McGinn,28,CentralMidfield,Scotland,AstonVilla,27
Bailey,25,LeftWinger,Jamaica,AstonVilla,25
Coutinho,30,LeftWinger,Brazil,AstonVilla,14
Buendía,26,RightWinger,Argentina,AstonVilla,28
Traoré,27,RightWinger,BurkinaFaso,AstonVilla,14
Watkins,27,Centre-Forward,England,AstonVilla,32
Durán,19,Centre-Forward,Colombia,AstonVilla,12
Sá,30,Goalkeeper,Portugal,WolverhamptonWanderers,18
Bentley,29,Goalkeeper,England,WolverhamptonWanderers,1.8
Moulden,21,Goalkeeper,England,WolverhamptonWanderers,0.2
Kilman,25,Centre-Back,England,WolverhamptonWanderers,25
Collins,21,Centre-Back,Ireland,WolverhamptonWanderers,22
Dawson,32,Centre-Back,England,WolverhamptonWanderers,2.5
Toti,24,Centre-Back,Portugal,WolverhamptonWanderers,2.5
Aït-Nouri,21,Left-Back,Algeria,WolverhamptonWanderers,22
Otto,29,Left-Back,Spain,WolverhamptonWanderers,17
Bueno,20,Left-Back,Spain,WolverhamptonWanderers,0.2
Semedo,29,Right-Back,Portugal,WolverhamptonWanderers,15
Neves,26,DefensiveMidfield,Portugal,WolverhamptonWanderers,40
Lemina,29,DefensiveMidfield,Gabon,WolverhamptonWanderers,10
Traoré,21,DefensiveMidfield,Mali,WolverhamptonWanderers,5
Hodge,20,DefensiveMidfield,IrelandU21,WolverhamptonWanderers,0.5
MatheusNunes,24,CentralMidfield,Portugal,WolverhamptonWanderers,45
Gomes,22,CentralMidfield,Brazil,WolverhamptonWanderers,15
Moutinho,36,CentralMidfield,Portugal,WolverhamptonWanderers,2
Podence,27,LeftWinger,Portugal,WolverhamptonWanderers,20
Chiquinho,23,LeftWinger,Portugal,WolverhamptonWanderers,2.5
Neto,23,RightWinger,Portugal,WolverhamptonWanderers,32
Sarabia,30,RightWinger,Spain,WolverhamptonWanderers,16
Traoré,27,RightWinger,Spain,WolverhamptonWanderers,12
Cunha,23,Centre-Forward,Brazil,WolverhamptonWanderers,30
Jimenez,31,Centre-Forward,Mexico,WolverhamptonWanderers,9
Costa,34,Centre-Forward,Spain,WolverhamptonWanderers,3.5
Bazunu,21,Goalkeeper,Ireland,SouthamptonFC,18
McCarthy,33,Goalkeeper,England,SouthamptonFC,2
Caballero,41,Goalkeeper,Argentina,SouthamptonFC,0.2
Bella-Kotchap,21,Centre-Back,Germany,SouthamptonFC,20
Salisu,23,Centre-Back,Ghana,SouthamptonFC,18
Caleta-Car,26,Centre-Back,Croatia,SouthamptonFC,14
Bednarek,26,Centre-Back,Poland,SouthamptonFC,14
Lyanco,26,Centre-Back,Brazil,SouthamptonFC,4
Perraud,25,Left-Back,France,SouthamptonFC,12
Larios,19,Left-Back,SpainU19,SouthamptonFC,7
Walker-Peters,25,Right-Back,England,SouthamptonFC,25
Livramento,20,Right-Back,EnglandU21,SouthamptonFC,25
Bree,25,Right-Back,England,SouthamptonFC,3
Lavia,19,DefensiveMidfield,Belgium,SouthamptonFC,25
Diallo,24,DefensiveMidfield,France,SouthamptonFC,8
Ward-Prowse,28,CentralMidfield,England,SouthamptonFC,38
Alcaraz,20,CentralMidfield,Argentina,SouthamptonFC,12
Armstrong,31,CentralMidfield,Scotland,SouthamptonFC,6
Maitland-Niles,25,RightMidfield,England,SouthamptonFC,8
Aribo,26,AttackingMidfield,Nigeria,SouthamptonFC,15
Sulemana,21,LeftWinger,Ghana,SouthamptonFC,22
Elyounoussi,28,LeftWinger,Norway,SouthamptonFC,12
Djenepo,24,LeftWinger,Mali,SouthamptonFC,10
Orsic,30,LeftWinger,Croatia,SouthamptonFC,7
Onuachu,28,Center-Forward,Nigeria,SouthamptonFC,17
Armstrong,26,Center-Forward,England,SouthamptonFC,12
Mara,20,Center-Forward,France,SouthamptonFC,12
Sánchez,25,Goalkeeper,Spain,Brighton&HoveAlbion,32
Steele,32,Goalkeeper,England,Brighton&HoveAlbion,1
Webster,28,Centre-Back,England,Brighton&HoveAlbion,22
Dunk,31,Centre-Back,England,Brighton&HoveAlbion,18
Colwill,20,Centre-Back,EnglandU21,Brighton&HoveAlbion,16
